Accession No,Primary Maker name only,Name Title,Brief Description,Media Materials,Measurement Reading Metric Imp Y display only,Department,Other Id,Collection,Current Location,Current Location Reason,Current Location Date,Current Owner,Acquisition Method,Acquisition Reason,Acquisition Date,Credit Line,Item Count
VUWCE.2009.15,Avis Higgs,Nocturne: Blue and Gold - Old Battersea Bridge,,,475 x 475mm,Collection Education/VUW Art,67b,Victoria University Wellington College of Education Collection,Science Building/Room 48,Permanent Exhibit,22-Sep-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.16,Avis Higgs,A Line Made by Walking,,,475 x 475mm,Collection Education/VUW Art,67c,Victoria University Wellington College of Education Collection,Music Building/Room 26,Permanent Exhibit,22-Sep-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.17,Avis Higgs,Portrait of Captain Thomas Lee,,,475 x 475mm,Collection Education/VUW Art,67d,Victoria University Wellington College of Education Collection,Art Building/Room 18,Permanent Exhibit,22-Sep-11,,,,,"Victoria University of Wellington Art Collection, formerly Wellington College of Education Art Collection",
VUWCE.2009.18,Avis Higgs,The Garden Enclosed,,,475 x 475mm,Collection Education/VUW Art,67e,Victoria University Wellington College of Education Collection,Art Building/Room 25,Permanent Exhibit,22-Sep-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.19,Sofia Minson,Sad Shower in New York,,,871 x 740mm,Collection Education/VUW Art,C226,Victoria University Wellington College of Education Collection,Philosophy Building/Room 47,Temporary Storage,17-Sep-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.20,Charles Blomfield,Self Portrait,,,472 x 640mm,Collection Education/VUW Art,C36,Victoria University Wellington College of Education Collection,Science Building/Room 33,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.21,Charles Blomfield,Fall,,,903 x 1062mm,Collection Education/VUW Art,C7,Victoria University Wellington College of Education Collection,Music Building/Room 10,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.22,John Pule,preserve 'beauty',,,557 x 760mm,Collection Education/VUW Art,L27,Victoria University Wellington College of Education Collection,Science Building/Room 48,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.23,John Pule,Ophelia,,,775 x 950mm,Collection Education/VUW Art,L172N,Victoria University Wellington College of Education Collection,Philosophy Building/Room 34,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.24,John Pule,Pitheads,,,605 x 910mm,Collection Education/VUW Art,L26,Victoria University Wellington College of Education Collection,Art Building/Room 6,Permanent Exhibit,19-Dec-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.25,John Pule,Three Figures and Portrait,,,719 x 512mm,Collection Education/VUW Art,L116,Victoria University Wellington College of Education Collection,Music Building/Room 14,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.26,John Pule,Museum Highlights: A Gallery Talk,,,993 x 803mm,Collection Education/VUW Art,C224,Victoria University Wellington College of Education Collection,Science Building/Room 18,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.27,Maureen Lander,I was a Rich Man's Plaything,,,790 x 800mm,Collection Education/VUW Art,C2,Victoria University Wellington College of Education Collection,Music Building/Room 22,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.29,Gretchen Albrecht,Reborn Sounds of Childhood Dreams I,,,995 x 1258mm,Collection Education/VUW Art,L134,Victoria University Wellington College of Education Collection,Music Building/Room 48,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.30,Rangi Kipa,Oval Sculpture (No. 2),,,482 x 460mm,Collection Education/VUW Art,c165,Victoria University Wellington College of Education Collection,Philosophy Building/Room 10,Audit,24-Aug-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.31,Frances Hodgkins,Head No. 2,,,1457 x 842mm (145.7 x 84.2cm),Collection Education/VUW Art,C43,Victoria University Wellington College of Education Collection,Music Building/Room 43,Temporary Exhibit,12-Apr-13,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.32,Judy Millar,Holes,,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Philosophy Building/Room 11,Temporary Storage,7-Dec-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.33,Judy Millar,Marilyn Diptych,,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Art Building/Room 13,Audit,23-Jan-09,,,,,"Victoria University of Wellington Art Collection, formerly Wellington College of Education Art Collection, accessioned 2009",
VUWCE.2009.34,Judy Millar,'I'm desperate',,,1015 x 761mm,Collection Education/VUW Art,L45,Victoria University Wellington College of Education Collection,Philosophy Building/Room 43,Usual Location,3-Aug-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.35,Geoff Moon,Cage (1) - (6),,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Music Building/Room 25,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.36,Suzanne Tamaki,"The Blue Rigi, Sunrise",,,656 x 912mm,Collection Education/VUW Art,C35,Victoria University Wellington College of Education Collection,Art Building/Room 43,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.37,Suzanne Tamaki,The Painter's Mother IV,,,1020 x 768mm,Collection Education/VUW Art,C374,Victoria University Wellington College of Education Collection,Music Building/Room 6,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.38,Suzanne Tamaki,The Golden Bough,,,880 x 682mm,Collection Education/VUW Art,L374,Victoria University Wellington College of Education Collection,Science Building/Room 49,Permanent Exhibit,19-Dec-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.39,Guy Ngan,Sunrise 16.8.90,,,640 x 1255mm,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Philosophy Building/Room 34,Temporary Storage,3-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.40,Malcolm Harrison,The Artist's Hand V,,,610 x 1265mm,Collection Education/VUW Art,389,Victoria University Wellington College of Education Collection,Science Building/Room 47,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.41,Billy Apple,Wall Drawing #1136,,,846 x 1047mm,Collection Education/VUW Art,C227,Victoria University Wellington College of Education Collection,Art Building/Room 49,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.42,Billy Apple,Two Women with a Boy and a Small Child,,,725 x 442mm,Collection Education/VUW Art,L120,Victoria University Wellington College of Education Collection,Science Building/Room 40,Temporary Storage,23-Nov-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.43,Ben Webb,Muhammad Ali by Andy Warhol,,,641 x 592mm,Collection Education/VUW Art,L76,Victoria University Wellington College of Education Collection,Music Building/Room 4,Temporary Storage,17-Sep-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.44,George Baloghy,Untitled,,,575 x 453mm (57.5 x 45.3cm),Collection Education/VUW Art,l14,Victoria University Wellington College of Education Collection,Art Building/Room 35,Audit,24-Aug-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.45,George Baloghy,"Misty and Jimmy Paulette in a taxi, NYC",,,1173 x 645mm,Collection Education/VUW Art,c37,Victoria University Wellington College of Education Collection,Art Building/Room 46,Permanent Exhibit,3-Nov-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.46,Margaret Milne,Torso in Metal from 'The Rock Drill',,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Art Building/Room 9,,,,,,,,
VUWCE.2009.47,Margaret Milne,"Eel Series, Roma, May 1977 - August 1978",,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Philosophy Building/Room 17,Audit,23-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.48,Tao Wells,Swinging,Abstracted - Cubist composition in green and yellow pallette of Ships in Harbour. In need of conservation prior to exhibition,,560 x 845mm,Collection Education/VUW Art,C87,Victoria University Wellington College of Education Collection,Art Building/Room 11,Temporary Exhibit,10-Apr-14,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.49,Tao Wells,The Future of Statues,,,554 x 730mm,Collection Education/VUW Art,C140,Victoria University Wellington College of Education Collection,Philosophy Building/Room 15,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.50,Gretchen Albrecht,Creeping Buttercup,,,587 x 482mm,Collection Education/VUW Art,c222,Victoria University Wellington College of Education Collection,Philosophy Building/Room 41,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.51,Merata Mita,Gothic Landscape,,,475 x 560mm,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Art Building/Room 41,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.52,Charles Fell,Jacob and the Angel,,,929 x 724mm,Collection Education/VUW Art,C70,Victoria University Wellington College of Education Collection,Music Building/Room 32,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.53,Charles Fell,Marguerite Kelsey,,,929 x 724mm,Collection Education/VUW Art,C80,Victoria University Wellington College of Education Collection,Philosophy Building/Room 13,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.54,Warwick Freeman,Woman in a Tub,,,1020 x 770mm,Collection Education/VUW Art,C376,Victoria University Wellington College of Education Collection,Science Building/Room 41,Temporary Exhibit,8-Mar-13,,,,,"Victoria University of Wellington Art Collection. Formerly Wellington College of Education Art Collection, accessioned 2009.",
VUWCE.2009.55,Emily Schuster,Naked Portrait,,,1085 x 1539mm,Collection Education/VUW Art,L155,Victoria University Wellington College of Education Collection,Science Building/Room 45,Returned Loan,18-Aug-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.56,Veranoa Hetet,Figure in a Landscape,,,810 x 831mm,Collection Education/VUW Art,C60,Victoria University Wellington College of Education Collection,Philosophy Building/Room 11,Usual Location,3-Aug-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.57,Merata Mita,Seated Man,,,787 x 917mm,Collection Education/VUW Art,C85,Victoria University Wellington College of Education Collection,Music Building/Room 40,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.58,Martha King,"The Hotel, Room 47",,,560 x 690 x 530mm (56 x 69 x 53cm),Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Science Building/Room 2,Audit,10-Mar-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.63,Paul Beadle,Bust of a Woman,,,843 x 963mm,Collection Education/VUW Art,C343,Victoria University Wellington College of Education Collection,Music Building/Room 14,Temporary Exhibit,6-Jul-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.64,Paul Beadle,A Favourite Custom,,,,Collection Education/VUW Art,C353,Victoria University Wellington College of Education Collection,Science Building/Room 23,Temporary Exhibit,3-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.65,Paul Beadle,Horse Attacked by a Lion,,,,Collection Education/VUW Art,L115,Victoria University Wellington College of Education Collection,Art Building/Room 29,Temporary Exhibit,7-Jul-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.66,Paul Beadle,Reclining Figure,,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Music Building/Room 3,,,,,,,,
VUWCE.2009.67,Christina Wirihana,"Galleria dell'Accademia I, Venice 1992",,,827 x 626mm,Collection Education/VUW Art,C228,Victoria University Wellington College of Education Collection,Art Building/Room 25,Permanent Exhibit,29-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.68,Petrus Van der Velden,"Tecla, Amsterdam, Netherlands, May 16 1994",,,700 x 846mm,Collection Education/VUW Art,C99,Victoria University Wellington College of Education Collection,Philosophy Building/Room 33,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.69,Petrus Van der Velden,Venus of the Rags,,,622 x 775mm,Collection Education/VUW Art,L69,Victoria University Wellington College of Education Collection,Science Building/Room 28,Temporary Exhibit,15-Nov-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.70,Richard Parker,Confess All On Video. Don't Worry You Will Be in Disguise. Intrigued? Call Gillian Version II,,,,Collection Education/VUW Art,C152,Victoria University Wellington College of Education Collection,Music Building/Room 26,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.71,Rhona Haszard,Paolo and Francesca da Rimini,,,806 x 630mm,Collection Education/VUW Art,C225,Victoria University Wellington College of Education Collection,Science Building/Room 12,Temporary Storage,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.72,Rhona Haszard,"Bottle of Vieux Marc, Glass, Guitar and Newspaper",,,616 x 616mm,Collection Education/VUW Art,L108,Victoria University Wellington College of Education Collection,Philosophy Building/Room 30,Temporary Exhibit,25-Nov-14,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.73,Richard Killeen,Spatial Concept 'Waiting',,,1025 x 810mm,Collection Education/VUW Art,L24,Victoria University Wellington College of Education Collection,Music Building/Room 45,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.74,Richard Killeen,Untitled,,,572 x 697mm,Collection Education/VUW Art,C10,Victoria University Wellington College of Education Collection,Science Building/Room 27,Temporary Storage,6-Aug-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.75,Richard Killeen,Self-Burial (Television Interference Project),,,552 x 716mm,Collection Education/VUW Art,C8,Victoria University Wellington College of Education Collection,Music Building/Room 26,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.76,Michel Tuffery,"The Bay of Baiae, with Apollo and the Sibyl",,,540 x 592mm,Collection Education/VUW Art,50,Victoria University Wellington College of Education Collection,Music Building/Room 0,Temporary Exhibit,9-Feb-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.77,Michel Tuffery,Untitled,,,700 x 579mm,Collection Education/VUW Art,C144,Victoria University Wellington College of Education Collection,Science Building/Room 45,Temporary Storage,17-Sep-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.78,Christine Hellyar,Shade and Darkness - the Evening of the Deluge,,,,Collection Education/VUW Art,C378,Victoria University Wellington College of Education Collection,Science Building/Room 2,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.79,Christine Hellyar,The Tub,,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Art Building/Room 5,,,,,,,,
VUWCE.2009.80,Sam Mahon,"Our English Coasts, 1852 ('Strayed Sheep')",,,1000 x 805mm,Collection Education/VUW Art,L178,Victoria University Wellington College of Education Collection,Art Building/Room 27,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.81,Kohai Grace,Bursting Shell,,,621 x 621mm,Collection Education/VUW Art,L126,Victoria University Wellington College of Education Collection,Music Building/Room 34,Audit,19-Feb-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.82,Lisa Walker,Interior Scroll,,,420 x 495mm,Collection Education/VUW Art,C65,Victoria University Wellington College of Education Collection,Science Building/Room 0,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.83,Mark Adams,The Dance,"Alternative title: 'Mr Moriarty, Glenbervie Terrace' (as seen on Suite Gallery website & Webb's website) Some discrepancy about spelling of Moriarty vs Moriaty (RC May 2012)",,"334 x 422mm, 445 x 380mm",Collection Education/VUW Art,37B,Victoria University Wellington College of Education Collection,Science Building/Room 7,Permanent Exhibit,29-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.84,Mark Adams,Love Locked Out,,,"409 x 319mm (40.9 x 31.9cm), 530 x 425mm",Collection Education/VUW Art,37D,Victoria University Wellington College of Education Collection,Art Building/Room 35,Permanent Exhibit,29-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.85,Mark Adams,Untitled #97,,,"319 x 408mm (31.9 x 40.8cm), 425 x 530mm",Collection Education/VUW Art,37A,Victoria University Wellington College of Education Collection,Philosophy Building/Room 13,Permanent Exhibit,29-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.86,Mark Adams,Untitled (Rape Scene),,,"334 x 422mm, 430 x 380mm",Collection Education/VUW Art,37E,Victoria University Wellington College of Education Collection,Philosophy Building/Room 16,Permanent Exhibit,29-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.87,Mark Adams,My Parents,,,"410 x 319mm (41 x 31.9cm), 430 x 380mm",Collection Education/VUW Art,37C,Victoria University Wellington College of Education Collection,Science Building/Room 10,Permanent Exhibit,29-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.90,Kohai Grace,Still Life with Very Fine Hatching,,,610 x 735mm,Collection Education/VUW Art,C33,Victoria University Wellington College of Education Collection,Science Building/Room 1,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.91,Alfred John Tattersall,"The Shepherd's Dream, from 'Paradise Lost'",,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Science Building/Room 47,,,,,,,,
VUWCE.2009.92,Alfred John Tattersall,Recreation of First Public Demonstration of Auto-Destructive Art,,,,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Art Building/Room 49,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.93,Marti Friedlander,Untitled,,,705 x 868mm,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Music Building/Room 17,Audit,29-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.94,Marti Friedlander,Study for 'A Sudden Gust of Wind (After Hokusai)',,,869 x 702mm,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Music Building/Room 17,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.95,Rick Rudd,Still Life with a Beer Mug,,,"380 x 405mm (1' 2 15/16"" x 1' 3 15/16""), 430 x 530mm",Collection Education/VUW Art,55B,Victoria University Wellington College of Education Collection,Music Building/Room 17,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.96,Rick Rudd,Untitled (Square 2),,,"380 x 405mm (1' 2 15/16"" x 1' 3 15/16""), 380 x 430mm",Collection Education/VUW Art,55A,Victoria University Wellington College of Education Collection,Art Building/Room 40,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.97,Rick Rudd,Corinthos,,,"380 x 405mm (1' 2 15/16"" x 1' 3 15/16""), 380 x 445mm",Collection Education/VUW Art,55C,Victoria University Wellington College of Education Collection,Science Building/Room 22,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.98,John Parker,The Painter and his Pug,,,441 x 537mm,Collection Education/VUW Art,C352,Victoria University Wellington College of Education Collection,Music Building/Room 30,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.99,John Parker,Industrial Landscape,,,782 x 900mm,Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Philosophy Building/Room 29,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.100,Louise Henderson,A Nude Boy on a Beach,,,575 x 698mm,Collection Education/VUW Art,L4,Victoria University Wellington College of Education Collection,Music Building/Room 12,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.101,Louise Henderson,The Order of Release 1746,,,,Collection Education/VUW Art,C142,Victoria University Wellington College of Education Collection,Philosophy Building/Room 24,Temporary Storage,6-Aug-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.102,Tania Patterson,The Reading Girl,,,445 x 370mm (44.5 x 37cm),Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Science Building/Room 33,Audit,10-Mar-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.103,Petrus Van der Velden,Andy Warhol,,,660 x 556mm,Collection Education/VUW Art,L23,Victoria University Wellington College of Education Collection,Science Building/Room 30,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.105,Petrus Van der Velden,Mother and Child,,,760 x 610mm,Collection Education/VUW Art,L39a,Victoria University Wellington College of Education Collection,Music Building/Room 46,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.106,Petrus Van der Velden,Wild Man,,,760 x 610mm,Collection Education/VUW Art,L39d,Victoria University Wellington College of Education Collection,Science Building/Room 10,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.107,Petrus Van der Velden,Cossacks,,,760 x 610mm,Collection Education/VUW Art,L39c,Victoria University Wellington College of Education Collection,Music Building/Room 40,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.108,Ian Scott,The Gardener Vallier,,,"760 x 455mm (2' 5 15/16"" x 1' 5 15/16"")",Collection Education/VUW Art,,Victoria University Wellington College of Education Collection,Science Building/Room 8,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.112,Alison Duff,Jesus Washing Peter's Feet,,,772 x 895mm (77.2 x 89.5cm),Collection Education/VUW Art,C48,Victoria University Wellington College of Education Collection,Art Building/Room 2,Audit,28-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.113,Freda Brierley,Portrait of Isabel Rawsthorne,,,770 x 1770mm,Collection Education/VUW Art,C23,Victoria University Wellington College of Education Collection,Music Building/Room 15,Temporary Storage,10-Aug-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.114,Freda Brierley,The Awakening Conscience,,,,Collection Education/VUW Art,L99,Victoria University Wellington College of Education Collection,Science Building/Room 34,Temporary Storage,7-Dec-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.115,Peter Stichbury,Bottle of Rum and Newspaper,,,470 x 289mm,Collection Education/VUW Art,L16,Victoria University Wellington College of Education Collection,Science Building/Room 44,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.116,Laurence Aberhart,"As if to Celebrate, I Discovered a Mountain Blooming with Red Flowers",,,526 x 1010mm,Collection Education/VUW Art,C159,Victoria University Wellington College of Education Collection,Music Building/Room 33,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.117,Brent Wong,Head of E.O.W.,,,664 x 792mm,Collection Education/VUW Art,C67,Victoria University Wellington College of Education Collection,Science Building/Room 5,Temporary Storage,6-Aug-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.118,Shona McFarlane,Still Life,,,"568 x 626mm (1' 10 3/8"" x 2' 5/8"")",Collection Education/VUW Art,C116,Victoria University Wellington College of Education Collection,Music Building/Room 38,Temporary Storage,6-Aug-10,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.119,Marti Friedlander,[no title],,,455 x 417mm,Collection Education/VUW Art,C56,Victoria University Wellington College of Education Collection,Science Building/Room 6,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.120,Marti Friedlander,Proserpine,,,455 x 417mm,Collection Education/VUW Art,C55,Victoria University Wellington College of Education Collection,Art Building/Room 39,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.121,Marti Friedlander,Shoes,,,532 x 270mm,Collection Education/VUW Art,L137 set 1,Victoria University Wellington College of Education Collection,Music Building/Room 42,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.122,Marti Friedlander,"Kolobrzeg, Poland, July 26 1992",,,384 x 256mm,Collection Education/VUW Art,L137 set 2,Victoria University Wellington College of Education Collection,Art Building/Room 19,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.123,Marti Friedlander,Emma Hart as Circe,,,456 x 417mm,Collection Education/VUW Art,C49,Victoria University Wellington College of Education Collection,Art Building/Room 14,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.125,Tanya Ashken,Indestructible Object,,,657 x 576mm,Collection Education/VUW Art,C139,Victoria University Wellington College of Education Collection,Philosophy Building/Room 45,Audit,29-Jan-09,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.126,Tanya Ashken,Lucretia Borgia Reigns in the Vatican in the Absence of Pope Alexander VI,,,"657 x 576mm (2' 1 7/8"" x 1' 10 11/16"")",Collection Education/VUW Art,L12,Victoria University Wellington College of Education Collection,Philosophy Building/Room 37,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.127,Avis Higgs,The Chapman Family Collection,,,585 x 333mm,Collection Education/VUW Art,C180,Victoria University Wellington College of Education Collection,Music Building/Room 7,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.128,Christine Boswijk,Dedham Lock and Mill,,,538 x 488mm,Collection Education/VUW Art,C143,Victoria University Wellington College of Education Collection,Art Building/Room 46,Temporary Exhibit,18-Jun-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.129,Brent Wong,Sketch for 'Hadleigh Castle',,,590 x 752mm,Collection Education/VUW Art,C34,Victoria University Wellington College of Education Collection,Music Building/Room 41,Usual Location,3-Aug-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.130,Brent Wong,Tree of 12 Metres,,,608 x 710mm,Collection Education/VUW Art,C15,Victoria University Wellington College of Education Collection,Science Building/Room 5,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.131,Brent Wong,"The Resurrection, Cookham",,,600 x 730mm,Collection Education/VUW Art,C81,Victoria University Wellington College of Education Collection,Science Building/Room 34,Temporary Exhibit,17-Feb-11,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.132,Brent Wong,Concorde Grid,,,695 x 859mm,Collection Education/VUW Art,C86,Victoria University Wellington College of Education Collection,Music Building/Room 0,Temporary Storage,3-May-12,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.133,Margery Blackman,Newton,,,,Collection Education/VUW Art,70L,Victoria University Wellington College of Education Collection,Science Building/Room 33,,,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.134,Margery Blackman,Mandora,,,,Collection Education/VUW Art,70H,Victoria University Wellington College of Education Collection,Science Building/Room 7,Temporary Storage,5-Aug-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.135,Margery Blackman,Regulus,,,,Collection Education/VUW Art,70D,Victoria University Wellington College of Education Collection,Philosophy Building/Room 17,Temporary Storage,5-Aug-15,,,,,Victoria University of Wellington College of Education Art Collection,
VUWCE.2009.136,Margery Blackman,Chicken Knickers,,,,Collection Education/VUW Art,70A,Victoria University Wellington College of Education Collection,Philosophy Building/Room 24,Temporary Storage,5-Aug-15,,,,,Victoria University of Wellington College of Education Art Collection,
